ID,Primary,Question,A,B,C,D,Answer,Category,Difficulty
1,P1,9 ones is the same as ____.,7,3,9,5,C,Numbers,-3.0
2,P1,5 ones is the same as ____.,5,6,7,4,A,Numbers,-3.0
3,P1,8 is the same as ____ ones.,5,8,7,6,B,Numbers,-3.0
4,P1,4 is the same as ____ ones,3,2,4,5,C,Numbers,-3.0
5,P1,____ tens is the same as 30.,1,2,3,4,C,Numbers,-3.0
6,P1,____ tens is the same as 70.,4,5,6,7,D,Numbers,-3.0
7,P1,20 is the same as ____ tens.,1,2,3,4,B,Numbers,-3.0
8,P1,60 is the same as ____ tens.,4,5,6,7,C,Numbers,-3.0
9,P1,Thirty in numeral.,20,30,40,50,B,Numbers,-3.0
10,P1,Twenty-five in numeral.,5,15,25,35,C,Numbers,-3.0
11,P1,Eighty-nine in numeral.,68,79,89,98,C,Numbers,-3.0
12,P1,Twelve in numeral.,10,14,17,12,D,Numbers,-3.0
13,P1,Select the largest number.,17,16,13,19,D,Numbers,-3.0
14,P1,Select the largest number.,38,32,34,35,A,Numbers,-3.0
15,P1,Select the largest number.,23,58,13,49,B,Numbers,-3.0
16,P1,Select the largest number.,5,8,3,7,B,Numbers,-3.0
17,P1,Select the smallest number.,48,40,45,43,B,Numbers,-3.0
18,P1,Select the smallest number.,63,78,90,83,A,Numbers,-3.0
19,P1,Select the smallest number.,45,28,93,12,D,Numbers,-3.0
20,P1,Select the smallest number.,11,8,9,2,D,Numbers,-3.0
21,P1,16 comes before ____.,16,15,13,17,D,Numbers,-2.3333333333333335
22,P1,34 comes before ____.,24,35,30,33,B,Numbers,-2.3333333333333335
23,P1,____ comes after 89.,87,88,89,90,D,Numbers,-2.3333333333333335
24,P1,____ comes after 13.,14,12,11,10,A,Numbers,-2.3333333333333335
25,P1,____ comes between 77 and 79.,73,71,78,80,C,Numbers,-2.3333333333333335
26,P1,____ comes between 9 and 11.,8,12,10,13,C,Numbers,-2.3333333333333335
27,P1,56 is between 55 and ____.,54,57,58,56,B,Numbers,-2.3333333333333335
28,P1,31 is between 30 and ____.,29,32,38,34,B,Numbers,-2.3333333333333335
29,P1,98 is between ____ and 99.,95,98,96,97,D,Numbers,-2.3333333333333335
30,P1,6 is between ____ and 7.,8,2,5,4,C,Numbers,-2.3333333333333335
31,P1,5 more than 11 is ____.,15,16,6,7,B,Numbers,-2.3333333333333335
32,P1,20 more than 10 is ____.,10,20,30,40,C,Numbers,-2.3333333333333335
33,P1,8 less than 40 is ____.,48,49,32,33,C,Numbers,-2.3333333333333335
34,P1,3 less than 90 is ____.,93,99,87,88,C,Numbers,-2.3333333333333335
35,P1,____ more than 67 is 75.,5,8,7,4,B,Numbers,-2.3333333333333335
36,P1,____ more than 11 is 17.,8,7,6,5,C,Numbers,-2.3333333333333335
37,P1,____ less than 8 is 5.,8,4,3,6,C,Numbers,-2.3333333333333335
38,P1,____ less than 100 is 80.,30,40,20,90,C,Numbers,-2.3333333333333335
39,P1,25 is ____ more than 21.,2,3,4,5,C,Numbers,-2.3333333333333335
40,P1,71 is ____ less than 80.,6,7,8,9,D,Numbers,-2.3333333333333335
41,P2,4 hundreds and 5 ones is written as ____.,450,405,451,45,B,Numbers,-2.3333333333333335
42,P2,2 hundreds and 9 tens is written as ____.,29,209,290,219,C,Numbers,-2.3333333333333335
43,P2,The digit 5 in 589 stands for ____.,5,50,500,5000,C,Numbers,-2.3333333333333335
44,P2,The digit 8 in 381 stands for ____.,8,80,800,8000,B,Numbers,-2.3333333333333335
45,P2,One hundred and eighty in numeral.,18,108,180,810,C,Numbers,-2.3333333333333335
46,P2,Nine hundreds and thirty five in numeral.,953,539,395,935,D,Numbers,-2.3333333333333335
47,P2,Five hundreds and forty three in numeral.,435,543,534,354,B,Numbers,-2.3333333333333335
48,P2,Select the largest number.,170,169,145,132,A,Numbers,-2.3333333333333335
49,P2,Select the largest number.,598,783,499,550,B,Numbers,-2.3333333333333335
50,P2,Select the largest number.,647,621,687,694,D,Numbers,-2.3333333333333335
51,P2,Select the largest number.,321,947,685,450,B,Numbers,-2.3333333333333335
52,P2,Select the smallest number.,101,198,184,140,A,Numbers,-2.3333333333333335
53,P2,Select the smallest number.,550,345,896,777,B,Numbers,-2.3333333333333335
54,P2,Select the smallest number.,896,854,822,870,C,Numbers,-2.3333333333333335
55,P2,Select the smallest number.,999,450,672,109,D,Numbers,-2.3333333333333335
56,P2,489 comes before ____.,470,480,490,460,C,Numbers,-1.6666666666666667
57,P2,____ comes after 767.,678,778,768,786,C,Numbers,-1.6666666666666667
58,P2,____ comes between 834 and 836.,830,835,837,833,B,Numbers,-1.6666666666666667
59,P2,434 is between 433 and ____.,430,435,432,431,B,Numbers,-1.6666666666666667
60,P2,789 is between ____ and 790.,787,789,791,788,D,Numbers,-1.6666666666666667
61,P2,15 more than 100 is ____.,105,115,125,100,B,Numbers,-1.6666666666666667
62,P2,200 more than 700 is ____.,200,500,700,900,D,Numbers,-1.6666666666666667
63,P2,10 less than 550 is ____.,550,540,530,520,B,Numbers,-1.6666666666666667
64,P2,150 less than 200 is ____.,200,150,100,50,D,Numbers,-1.6666666666666667
65,P2,____ more than 250 is 500.,100,150,200,250,D,Numbers,-1.6666666666666667
66,P2,____ more than 400 is 900.,400,500,300,200,B,Numbers,-1.6666666666666667
67,P2,____ less than 1000 is 300.,1000,900,800,700,D,Numbers,-1.6666666666666667
68,P2,____ less than 350 is 50.,300,400,500,600,A,Numbers,-1.6666666666666667
69,P2,534 is ____ more than 500.,134,34,234,534,B,Numbers,-1.6666666666666667
70,P2,200 is ____ less than 800.,300,400,500,600,D,Numbers,-1.6666666666666667
71,P1,7 + 9 = ____,12,14,16,15,C,Addition,-1.0
72,P1,28 + 12 = ____,30,50,40,60,C,Addition,-1.0
73,P1,38 + 6 = ____,44,34,42,58,A,Addition,-1.0
74,P1,8 + 3 = ____,9,12,11,10,C,Addition,-1.0
75,P1,56 + 34 = ____,80,89,90,93,C,Addition,-1.0
76,P1,5 + 9 = ____,12,13,14,15,C,Addition,-1.0
77,P1,____ + 70 = 79,6,7,8,9,D,Addition,-1.0
78,P1,____ + 5 = 67,45,56,62,74,C,Addition,-1.0
79,P1,88 + ____ = 95,4,9,7,2,C,Addition,-1.0
80,P1,81 + ____ = 100,23,19,21,18,B,Addition,-1.0
81,P1,9 - 3 = ____,4,10,6,12,C,Subtraction,-1.0
82,P1,34 - 11 = ____,33,23,45,25,B,Subtraction,-1.0
83,P1,50 - 9 = ____,52,49,43,41,D,Subtraction,-1.0
84,P1,78 - 13 = ____,55,75,65,85,C,Subtraction,-1.0
85,P1,90 - 30 = ____,50,40,70,60,D,Subtraction,-1.0
86,P1,12 - 8 = ____,7,5,4,8,C,Subtraction,-1.0
87,P1,____ - 5 = 40,35,45,55,65,B,Subtraction,-1.0
88,P1,____ - 34 = 60,84,76,65,94,D,Subtraction,-1.0
89,P1,100 - ____ = 77,33,23,43,13,B,Subtraction,-1.0
90,P1,19 - ____ = 5,11,12,13,14,D,Subtraction,-1.0
91,P1,11 + 11 + 11 = ____,22,33,44,55,B,Addition,-0.33333333333333304
92,P1,19 + 5 + 1 = ____,23,35,28,25,D,Addition,-0.33333333333333304
93,P1,45 + 12 + 3 = ____,50,65,55,60,D,Addition,-0.33333333333333304
94,P1,76 + 20 + 14 = ____,70,86,94,100,D,Addition,-0.33333333333333304
95,P1,9 + 5 + 6 = ____,18,17,20,19,C,Addition,-0.33333333333333304
96,P1,30 - 6 - 3 = ____,18,20,21,19,C,Subtraction,-0.33333333333333304
97,P1,88 - 10 - 8 = ____,60,82,70,91,C,Subtraction,-0.33333333333333304
98,P1,75 - 5 - 1 = ____,70,65,71,69,D,Subtraction,-0.33333333333333304
99,P1,6 - 4 - 2 = ____,2,3,0,1,C,Subtraction,-0.33333333333333304
100,P1,100 - 75 - 13 = ____,23,12,45,37,B,Subtraction,-0.33333333333333304
101,P1,16 + 4 - 5 = ____,25,15,7,17,B,Mix,-0.33333333333333304
102,P1,40 + 25 - 6 = ____,59,9,71,21,A,Mix,-0.33333333333333304
103,P1,56 + 44 - 10 = ____,2,78,22,90,D,Mix,-0.33333333333333304
104,P1,89 + 6 - 13 = ____,82,100,70,96,A,Mix,-0.33333333333333304
105,P1,9 - 1 + 9 = ____,0,17,19,1,B,Mix,-0.33333333333333304
106,P1,78 - 12 + 11 = ____,100,77,79,55,B,Mix,-0.33333333333333304
107,P1,90 - 34 + 6 ____,66,58,50,62,D,Mix,-0.33333333333333304
108,P1,22 - 18 + 22 = ____,26,18,62,34,A,Mix,-0.33333333333333304
109,P1,12 - 6 + 6 = ____,6,12,24,0,B,Mix,-0.33333333333333304
110,P1,74 - 16 + 4 = ____,62,54,94,86,A,Mix,-0.33333333333333304
111,P2,250 + 50 = ____,200,250,300,350,C,Addition,-0.33333333333333304
112,P2,845 + 15 = ____,840,860,855,865,B,Addition,-0.33333333333333304
113,P2,340 + 39 = ____,379,369,349,359,A,Addition,-0.33333333333333304
114,P2,____ + 45 = 590,555,535,540,545,D,Addition,-0.33333333333333304
115,P2,250 + ____ = 500,220,230,240,250,D,Addition,-0.33333333333333304
116,P2,450 - 50 = ____,300,400,350,500,B,Subtraction,-0.33333333333333304
117,P2,150 - 150 = ____,100,50,150,0,D,Subtraction,-0.33333333333333304
118,P2,999 - 777 = ____,111,221,133,222,D,Subtraction,-0.33333333333333304
119,P2,____ - 200 = 688,788,888,588,988,B,Subtraction,-0.33333333333333304
120,P2,678 - ____ = 628,35,45,50,55,C,Subtraction,-0.33333333333333304
121,P2,500 + 40 + 3 = ____,543,453,345,534,A,Addition,0.3333333333333335
122,P2,400 + 400 + 4 = ____,840,408,804,84,C,Addition,0.3333333333333335
123,P2,735 + 100 + 25 = ____,760,855,755,860,D,Addition,0.3333333333333335
124,P2,987 = 900 + ____ + 7,800,80,8,0,B,Addition,0.3333333333333335
125,P2,450 = ____ + 100 + 50,200,250,300,350,C,Addition,0.3333333333333335
126,P2,500 - 200 - 50 = ____,300,150,200,250,D,Subtraction,0.3333333333333335
127,P2,555 - 50 - 5 = ____,450,505,500,550,C,Subtraction,0.3333333333333335
128,P2,438 - 30 - 3 = ____,405,400,430,450,A,Subtraction,0.3333333333333335
129,P2,500 - ____ - 50 = 350,50,100,150,200,B,Subtraction,0.3333333333333335
130,P2,888 - ____ - 8 = 700,100,80,180,88,C,Subtraction,0.3333333333333335
131,P2,350 + 50 - 5 = ____,405,305,395,385,C,Mix,0.3333333333333335
132,P2,125 + 125 - 50 = ____,250,200,300,150,B,Mix,0.3333333333333335
133,P2,800 + 200 - 100 = ____,1000,700,800,900,D,Mix,0.3333333333333335
134,P2,600 + 300 - 25 = ____,825,875,850,855,B,Mix,0.3333333333333335
135,P2,450 + 350 - 150 = ____,550,850,650,750,C,Mix,0.3333333333333335
136,P2,500 - 200 + 50 = ____,350,750,250,650,A,Mix,0.3333333333333335
137,P2,655 - 50 + 5 = ____,600,710,695,610,D,Mix,0.3333333333333335
138,P2,728 - 220 + 2 = ____,510,950,506,946,A,Mix,0.3333333333333335
139,P2,1000 - 500 + 500 = ____,1000,500,0,250,A,Mix,0.3333333333333335
140,P2,855 - 400 + 5 = ____,450,900,455,460,D,Mix,0.3333333333333335
141,P1,2 groups of 4 = ____,4,8,2,6,B,Multiplication,0.9999999999999991
142,P1,5 groups of 3 = ____,10,20,15,5,C,Multiplication,0.9999999999999991
143,P1,8 groups of 5 = ____,40,30,50,20,A,Multiplication,0.9999999999999991
144,P1,2 fives = ____,20,5,2,10,D,Multiplication,0.9999999999999991
145,P1,4 threes = ____,4,12,15,3,B,Multiplication,0.9999999999999991
146,P1,6 fours = ____,4,10,6,24,D,Multiplication,0.9999999999999991
147,P1,7 x 3 = ____,21,7,10,3,A,Multiplication,0.9999999999999991
148,P1,9 x 4 = ____,9,36,4,13,B,Multiplication,0.9999999999999991
149,P1,5 x 5 = ____,10,20,25,15,C,Multiplication,0.9999999999999991
150,P1,10 x 7 = ____,80,70,60,50,B,Multiplication,0.9999999999999991
151,P1,10 ÷ 2 = ____,5,10,2,12,A,Division,1.666666666666666
152,P1,8 ÷ 4 = ____,8,2,12,4,B,Division,1.666666666666666
153,P1,9 ÷ 3 = ____,9,3,12,6,B,Division,1.666666666666666
154,P1,12 ÷ 3 = ____,4,12,3,9,A,Division,1.666666666666666
155,P1,20 ÷ 5 = ____,20,4,10,5,B,Division,1.666666666666666
156,P1,20 ÷ 2 = ____,2,20,5,10,D,Division,1.666666666666666
157,P1,5 ÷ 5 = ____,10,0,1,5,C,Division,1.666666666666666
158,P1,16 ÷ 4 = ____,4,16,8,3,A,Division,1.666666666666666
159,P1,18 ÷ 6 = ____,12,18,6,3,D,Division,1.666666666666666
160,P1,7 ÷ 1 = ____,1,3,5,7,D,Division,1.666666666666666
161,P2,multiplying 3 by 5 = ____,10,5,15,3,C,Multiplication,1.666666666666666
162,P2,multiplying 4 by 10 = ____,4,10,40,20,C,Multiplication,1.666666666666666
163,P2,multiplying 2 by 4 = ____,2,4,6,8,D,Multiplication,1.666666666666666
164,P2,multiplying 5 by 6 = ____,10,20,30,40,C,Multiplication,1.666666666666666
165,P2,multiplying 10 by 10 = ____,10,100,20,1000,B,Multiplication,1.666666666666666
166,P2,2 x 3 = ____,2,3,5,6,D,Multiplication,1.666666666666666
167,P2,2 x 8 = ____,8,2,10,16,D,Multiplication,1.666666666666666
168,P2,3 x 4 = ____,7,4,3,12,D,Multiplication,1.666666666666666
169,P2,3 x 3 = ____,6,9,3,12,B,Multiplication,1.666666666666666
170,P2,4 x 7 = ____,22,26,28,20,C,Multiplication,1.666666666666666
171,P2,4 x 5 = ____,20,25,24,16,A,Multiplication,1.666666666666666
172,P2,5 x 5 = ____,5,10,20,25,D,Multiplication,1.666666666666666
173,P2,5 x 9 = ____,30,35,40,45,D,Multiplication,1.666666666666666
174,P2,10 x 8 = ____,80,70,60,50,A,Multiplication,1.666666666666666
175,P2,10 x 3 = ____,20,40,30,50,C,Multiplication,1.666666666666666
176,P2,12 ÷ 2 = ____,8,6,12,10,B,Division,2.333333333333333
177,P2,2 ÷ 2 = ____,1,2,3,4,A,Division,2.333333333333333
178,P2,18 ÷ 2 = ____,5,20,9,8,C,Division,2.333333333333333
179,P2,21 ÷ 3 = ____,3,7,6,5,B,Division,2.333333333333333
180,P2,15 ÷ 3 = ____,10,15,5,3,C,Division,2.333333333333333
181,P2,18 ÷ 3 = ____,3,4,5,6,D,Division,2.333333333333333
182,P2,20 ÷ 4 = ____,6,4,5,7,C,Division,2.333333333333333
183,P2,36 ÷ 4 = ____,8,7,6,9,D,Division,2.333333333333333
184,P2,40 ÷ 4 = ____,4,10,5,8,B,Division,2.333333333333333
185,P2,15 ÷ 5 = ____,1,2,3,4,C,Division,2.333333333333333
186,P2,25 ÷ 5 = ____,25,10,5,4,C,Division,2.333333333333333
187,P2,40 ÷ 5 = ____,7,9,6,8,D,Division,2.333333333333333
188,P2,50 ÷ 10 = ____,1,3,5,7,C,Division,2.333333333333333
189,P2,100 ÷ 10 = ____,6,8,9,10,D,Division,2.333333333333333
190,P2,70 ÷ 10 = ____,6,7,8,9,B,Division,2.333333333333333
191,P2,3 units out of 1/5 is ____.,1/5,2/5,3/5,4/5,C,Fractions,3.0
192,P2,2 units out of 1/4 is ____.,1/4,2/4,3/4,4/4,B,Fractions,3.0
193,P2,2 units out of 1/3 is ____.,1/2,1/3,2/3,2/4,C,Fractions,3.0
194,P2,Select the largest number.,1/2,1/3,1/7,1/5,A,Fractions,3.0
195,P2,Select the smallest number.,1/3,1/5,1/6,1/8,D,Fractions,3.0
196,P2,1/4 + 1/4 = ____,1/2,1/3,1/4,1/5,A,Fractions,3.0
197,P2,1/6 + 3/6 = ____,1/6,2/6,3/6,4/6,D,Fractions,3.0
198,P2,1/2 + 1/4 = ____,1/2,2/4,3/4,2/3,C,Fractions,3.0
199,P2,2/7 - 1/7 = ____,1/7,2/7,3/7,4/7,A,Fractions,3.0
200,P2,3/4 - 1/4 = ____,1/4,1/2,1/3,1/5,B,Fractions,3.0
